seen_at,filing_date,transaction_date,ticker,issuer,insider_name,insider_role,officer_title,transaction_code,acquired_disposed,shares,price,dollar_value,severity,cluster_count,reasons,sector,industry,market_cap,price_now,price_now_date,accession,pdf_url,uid
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Baumal Caroline,Other C-suite,Chief Medical Officer,D,D,29696.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224577,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224577/,0001193125-26-224577|0001961100|2026-05-14|D|29696.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,143750.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|143750.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,87108.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|87108.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,97976.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|97976.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,195952.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|195952.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,20862.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|20862.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,36047.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|36047.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Francois Cedric,CEO/President,Chief Executive Officer,D,D,97997.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224579,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224579/,0001193125-26-224579|0001658080|2026-05-14|D|97997.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Boucher Kelley,Other C-suite,Chief People Officer,D,D,15073.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224589,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224589/,0001193125-26-224589|0002070437|2026-05-14|D|15073.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Boucher Kelley,Other C-suite,Chief People Officer,D,D,30146.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224589,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224589/,0001193125-26-224589|0002070437|2026-05-14|D|30146.0|None
